question,tier,outcome,attempts,refocused,rejected_answer,reason,reference,latency,false_rejection
"En un paciente con VIH con carga viral indetectable en DTG/3TC, ¿qué factores obligarían a no mantener una terapia dual según las recomendaciones actuales?",single_hop,answered,1,False,,"La respuesta aborda adecuadamente los factores que podrían obligar a reconsiderar la terapia dual DTG/3TC en un paciente con carga viral indetectable, y todas las afirmaciones están respaldadas por el contexto proporcionado.","La terapia dual DTG/3TC no debe mantenerse si existe coinfección por el virus de la hepatitis B (las pautas duales no cubren el VHB), si hay resistencia conocida o sospechada a lamivudina (mutación M184V/I) o a los inhibidores de integrasa, si no se dispone de estudio de resistencias previo, si hay antecedente de fracaso virológico o si la adherencia no está garantizada. Igualmente se abandonaría ante viremia detectable/fracaso virológico o aparición de resistencias.",22.896720799966715,False
¿Qué pruebas deben realizarse antes de iniciar abacavir y qué ocurriría si el resultado no está disponible en un paciente con infección aguda?,single_hop,answered,1,False,,La respuesta aborda adecuadamente la pregunta sobre las pruebas necesarias antes de iniciar abacavir y las implicaciones de no tener el resultado en una infección aguda. Está respaldada por el contexto que menciona la necesidad de la prueba HLA-B*5701 antes de usar abacavir y las recomendaciones de no usar abacavir sin este resultado en inicios rápidos de TAR.,"Antes de iniciar abacavir es obligatorio determinar el alelo HLA-B*5701 (A-I), ya que los portadores tienen un riesgo de hasta el 50% de reacción de hipersensibilidad; si el HLA-B*5701 es positivo no debe prescribirse abacavir. Si en una infección aguda se opta por inicio rápido y aún no se dispone del resultado de HLA-B*5701 (ni del estudio de resistencias), no deben usarse regímenes con abacavir ni con ITINN; se recomienda iniciar con TDF o TAF/FTC.",17.43310330004897,False
"Si un paciente con VIH tiene fracaso virológico con viremias bajas persistentes, ¿cuál es el algoritmo recomendado antes de cambiar TAR?",single_hop,answered,1,False,,"La respuesta es apta porque aborda directamente la pregunta sobre el algoritmo recomendado antes de cambiar el TAR en caso de fracaso virológico con viremias bajas persistentes. Además, todas las afirmaciones clínicas están respaldadas por el contexto proporcionado, que incluye recomendaciones sobre el seguimiento clínico-analítico, la evaluación de resistencias y la optimización del tratamiento.","Antes de cambiar el TAR debe confirmarse el fracaso con una segunda determinación de carga viral, evaluar y reforzar la adherencia, descartar interacciones farmacológicas y problemas de absorción, revisar la potencia y barrera genética del régimen y realizar un estudio de resistencias (genotipo) si la viremia lo permite. Solo entonces se decide el cambio, guiado por el resultado de resistencias.",20.572939899982885,False
¿Por qué la adherencia subóptima puede generar resistencia incluso cuando la carga viral se mantiene relativamente baja?,single_hop,answered,1,False,,"La respuesta es relevante y aborda la pregunta sobre cómo la adherencia subóptima puede generar resistencia incluso con carga viral baja. Además, todas las afirmaciones están respaldadas por el contexto proporcionado, que menciona la relación entre adherencia, control virológico y selección de resistencias, así como la importancia de la adherencia para evitar la replicación viral continua y la selección de mutaciones de resistencia.","Una adherencia intermedia mantiene concentraciones subterapéuticas del fármaco que permiten cierta replicación viral bajo presión selectiva; ese entorno favorece la selección de mutaciones de resistencia aunque no haya un rebote franco de la carga viral, especialmente con fármacos de baja barrera genética (lamivudina/emtricitabina con M184V, o los ITINN).",30.067096600076184,False
¿En qué situaciones clínicas se recomienda no reducir a regímenes de menos de tres fármacos aunque el paciente esté suprimido?,single_hop,answered,1,False,,"La respuesta aborda adecuadamente la pregunta sobre las situaciones clínicas en las que no se recomienda reducir a regímenes de menos de tres fármacos, basándose en el contexto proporcionado. Las afirmaciones sobre la coinfección con VHB, fracasos virológicos previos y resistencias conocidas o sospechadas están respaldadas por el contexto.","No se recomienda reducir a menos de tres fármacos en presencia de coinfección por VHB (que requiere dos fármacos activos frente al VHB), cuando existe resistencia previa o archivada que comprometa los componentes de la pauta reducida, ante antecedentes de fracasos virológicos múltiples, cuando no puede garantizarse una buena adherencia o cuando no se cumplen los criterios de los ensayos (supresión estable y mantenida, sin resistencia a los fármacos del régimen reducido).",31.649577900068834,False
¿Qué inhibidores de la integrasa no pueden administrarse junto con rifampicina?,simple,answered,1,False,,La respuesta es relevante y todas las afirmaciones están respaldadas por el contexto proporcionado. Se mencionan correctamente los inhibidores de la integrasa que no deben usarse con rifampicina y las excepciones con ajustes de dosis.,"Con rifampicina no pueden administrarse elvitegravir/cobicistat, bictegravir (BIC) ni cabotegravir (CAB), ni raltegravir en su pauta de 1200 mg/24h; tampoco los ITINN distintos de efavirenz (RPV, ETR, DOR) ni los inhibidores de la proteasa. Entre los inhibidores de integrasa, las excepciones utilizables son dolutegravir (con ajuste de dosis) y raltegravir 800 mg/12h.",43.976032099919394,False
¿A qué dosis debe administrarse dolutegravir cuando se combina con rifampicina?,simple,answered,1,False,,La respuesta es relevante y fiel al contexto proporcionado. Aborda la pregunta sobre la dosis de dolutegravir cuando se combina con rifampicina y está respaldada por el contexto que indica que la dosis debe duplicarse a 50 mg cada 12 horas debido a la reducción del AUC de dolutegravir en un 54% por la rifampicina.,"Con rifampicina, dolutegravir debe administrarse a 50 mg cada 12 horas (en pacientes sin resistencia a inhibidores de integrasa), manteniendo esa dosis hasta 2 semanas después de finalizar la rifampicina.",45.230774299940094,False
¿Está recomendado el uso de tenofovir alafenamida (TAF) junto con rifampicina?,simple,answered,1,False,,"La respuesta es relevante y fiel al contexto proporcionado. Aborda directamente la pregunta sobre la recomendación del uso de TAF con rifampicina y respalda sus afirmaciones con información del contexto, que indica que no se recomienda el uso conjunto debido a la disminución de la concentración plasmática de TAF por la rifampicina. También menciona estudios recientes sobre la concentración intracelular de tenofovir, lo cual está respaldado por el contexto.","No. No está recomendado el uso de tenofovir alafenamida (TAF) con rifampicina porque la rifampicina reduce sus concentraciones plasmáticas; como ITIAN con rifampicina se prefieren TDF, ABC, 3TC o FTC.",45.50373520003632,False
¿Qué resultado de la prueba HLA-B*5701 contraindica el abacavir?,simple,answered,1,False,,La respuesta es relevante y fiel al contexto proporcionado. Aborda directamente la pregunta sobre qué resultado de la prueba HLA-B*5701 contraindica el uso de abacavir y está respaldada por el contexto que indica que un resultado positivo de HLA-B*5701 contraindica el uso de abacavir debido al riesgo de reacción de hipersensibilidad.,"Un resultado positivo de HLA-B*5701 contraindica el abacavir: no debe prescribirse ABC si la prueba es positiva, por el alto riesgo de reacción de hipersensibilidad.",37.47399760002736,False
¿Cuál es el tercer fármaco de elección junto a rifampicina en la coinfección tuberculosis-VIH?,simple,answered,1,False,,"La respuesta es apta porque aborda directamente la pregunta sobre el tercer fármaco de elección junto a rifampicina en la coinfección tuberculosis-VIH, mencionando a efavirenz (EFV) como el fármaco de elección, lo cual está respaldado por el contexto. Además, menciona las alternativas raltegravir (RAL) y dolutegravir (DTG), que también están respaldadas por el contexto.",El tercer fármaco de elección junto a rifampicina es efavirenz (EFV) a dosis estándar (A-I); como alternativas se recomiendan raltegravir 800 mg/12h o dolutegravir 50 mg/12h.,49.145619399962015,False
